ord_pub,total_neto,total_con_iva,descripcion_anunciante,campania,rubro,codigo_proveedor,nombre_o_denominacion_proveedor,medio,provincia_medio,tipo_de_orden,periodo,es_canje
2018_03702,12240.0,14810.4,Banco de la Nacion Argentina,Campaña Plazo Fijo - Bna,Radio,13623,J.G. REPRESENTACIONES S.A.    ,FM 97.3 LIGHT,San Juan,DA 562-10 B,may-18,no
2018_03703,10750.0,13007.5,Banco de la Nacion Argentina,Campaña Plazo Fijo - Bna,Radio,14781,MAP LEADING S.R.L.,AM 1120 - LV 5 SARMIENTO,San Juan,DA 562-10 B,may-18,no
2018_03711,3251.25,3934.01,I.N.S.S.J.P. (Pami),Pami - Vacunacion Antigripal 2018,Radio,13623,J.G. REPRESENTACIONES S.A.    ,FM PANORAMA,Santiago del Estero,RES 617-E/2016,may-18,no
2018_03712,1321.54,1599.06,I.N.S.S.J.P. (Pami),Pami - Vacunacion Antigripal 2018,Radio,11295,RADIODIF. SGO DEL ESTERO SACeI,AM 890 LV11 EMISORA SGO. DEL ESTERO,Santiago del Estero,RES 617-E/2016,may-18,no
2018_03686,1303.56,1577.31,I.N.S.S.J.P. (Pami),Pami - Vacunacion Antigripal 2018,Radio,15500,MEZA CARLOS HECTOR,FM 94.1 RADIO UNO,Formosa,RES 617-E/2016,may-18,no
2018_03687,1434.38,1735.6,I.N.S.S.J.P. (Pami),Pami - Vacunacion Antigripal 2018,Radio,15500,MEZA CARLOS HECTOR,FM 99.9 RADIO UNO,Formosa,RES 617-E/2016,may-18,no
2018_03688,1500.0,1815.0,I.N.S.S.J.P. (Pami),Pami - Vacunacion Antigripal 2018,Radio,17975,GAMPP S.A.,FM 101.9 QTH,Formosa,RES 617-E/2016,may-18,no
2018_03689,1099.69,1330.62,I.N.S.S.J.P. (Pami),Pami - Vacunacion Antigripal 2018,Radio,18453,MADOERY DIEGO,FM 94.1 RADIO UNO,Formosa,RES 617-E/2016,may-18,no
2018_03690,1099.69,1330.62,I.N.S.S.J.P. (Pami),Pami - Vacunacion Antigripal 2018,Radio,18453,MADOERY DIEGO,RADIO UNO,Formosa,RES 617-E/2016,may-18,no
2018_03691,3175.0,3841.75,I.N.S.S.J.P. (Pami),Pami - Vacunacion Antigripal 2018,Radio,12813,PRODUCCIONES Y PROGRAMAS S.A. ,AM 990,Formosa,RES 617-E/2016,may-18,no
2018_03409,16791.75,20318.02,I.N.S.S.J.P. (Pami),Pami - Vacunacion Antigripal 2018,Tv,15672,UNOMEDIOS S.A.,CANAL 6,Mendoza,RES 617-E/2016,may-18,no
2018_01588,19200.0,23232.0,Bice - Banco de Inversion y Comercio Exterior Sociedad Anonima,Créditos Para Exportar. Líneas de Pre y Post Financiación de Exportaciones -Bice,Radio,11013,RED CELESTE Y BLANCA S.A.,AM 910 LA RED,Buenos Aires,DA 562-10,abr-18,no
