orden_publica,total,descripcion_anunciante,campania,rubro,nombre_o_denominacion_proveedor,medio,tipo_de_orden,periodo
2016_04481,12100.0,I.N.S.S.J.P. (Pami),Campaña Institucional Vacunacion Antigripal 2016 - Pami,Web,Grupo Media Atlantico S.A.,WWW.0223.COM.AR,DA 448-09,2016-05-01
2016_04604,12100.0,Banco de la Nacion Argentina,Campaña Institucional del B.N.A. - B.N.A.,Radio,Guarino Julian,FM 97.9 RADIO CULTURA,DA 562-10,2016-05-01
2016_04517,12100.0,I.N.S.S.J.P. (Pami),Campaña Institucional Vacunacion Antigripal 2016 - Pami,Cable,"Alonso Pineiro, Karina Alej.",METRO,DA 448-09,2016-05-01
2016_04367,12100.0,Banco de la Nacion Argentina,Campaña Institucional del B.N.A. - B.N.A.,Radio,Echevarria Gonzalo,AM 1030 RADIO DEL PLATA,DA 562-10,2016-05-01
2016_05473,12100.0,Presidencia de la Nacion,Campaña Precios Cuidados - Presidencia de la Nacion,Web,Gustavo Quiroga E.P.M. S.A.,WWW.DATACHACO.COM,DA 448-09,2016-05-01
2016_05334,12100.0,Presidencia de la Nacion,Campaña Juntos - Presidencia de la Nacion,Web,Cooper Alejandro,WWW.POLITICADELSUR.COM,DA 448-09,2016-05-01
2016_05335,12100.0,Presidencia de la Nacion,Campaña Juntos - Presidencia de la Nacion,Web,Calabia Mariana Mercedes,WWW.ENLACECRITICO.COM,DA 448-09,2016-05-01
2016_04537,12100.0,I.N.S.S.J.P. (Pami),Campaña Institucional Vacunacion Antigripal 2016 - Pami,Radio,El Arbol Digital S.R.L.,FM 106.7 MILENIUM,DA 448-09,2016-05-01
2016_04378,12100.0,Banco de la Nacion Argentina,Campaña Institucional del B.N.A. - B.N.A.,Radio,Cuerpo 14 Srl,FM 94.7 RADIO PALERMO,DA 562-10,2016-05-01
2016_04629,12100.0,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Auspicios Institucionales - Ahorro del Agua / Aysa,Radio,Media Office S.R.L.,FM PALERMO,DA 562-10,2016-05-01
2016_04618,12100.0,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Auspicios Institucionales - Ahorro del Agua / Aysa,Web,Fidanza Ignacio Amilcar,WWW.LAPOLITICAONLINE.COM,DA 562-10,2016-05-01
2016_04571,12100.0,Banco de la Nacion Argentina,Campaña Institucional del B.N.A. - B.N.A.,Radio,Rr Producciones S.A.,FM 103.1,DA 562-10,2016-05-01
2016_04572,12100.0,Banco de la Nacion Argentina,Campaña Institucional del B.N.A. - B.N.A.,Radio,Alveolite Maria Celia,FM PALERMO,DA 562-10,2016-05-01
2016_04575,12100.0,Banco de la Nacion Argentina,Campaña Institucional del B.N.A. - B.N.A.,Radio,Alonso Pineiro M. Eugenia,FM PALERMO,DA 562-10,2016-05-01
2016_04513,12100.0,I.N.S.S.J.P. (Pami),Campaña Institucional Vacunacion Antigripal 2016 - Pami,Cable,Dak Grupo Creativo S.R.L.,METRO,DA 448-09,2016-05-01
2016_04515,12100.0,I.N.S.S.J.P. (Pami),Campaña Institucional Vacunacion Antigripal 2016 - Pami,Cable,Media Office S.R.L.,METRO,DA 448-09,2016-05-01
2016_04527,12100.0,I.N.S.S.J.P. (Pami),Campaña Institucional Vacunacion Antigripal 2016 - Pami,Radio,Goldstein Sergio Luis,FM PALERMO,DA 448-09,2016-05-01
2016_04531,12100.0,I.N.S.S.J.P. (Pami),Campaña Institucional Vacunacion Antigripal 2016 - Pami,Radio,El Arbol Digital S.R.L.,FM 106.7 MILENIUM,DA 448-09,2016-05-01
2016_04479,12100.0,I.N.S.S.J.P. (Pami),Campaña Institucional Vacunacion Antigripal 2016 - Pami,Web,Comunicacion Positiva S.R.L.,LETRAP.COM.AR,DA 448-09,2016-05-01
2016_04369,12100.0,Banco de la Nacion Argentina,Campaña Institucional del B.N.A. - B.N.A.,Radio,Quart Producciones Srl,AM 790 RADIO MITRE,DA 562-10,2016-05-01
2016_04372,12100.0,Banco de la Nacion Argentina,Campaña Institucional del B.N.A. - B.N.A.,Radio,Alveolite Maria Celia,FM PALERMO,DA 562-10,2016-05-01
2016_04376,12100.0,Banco de la Nacion Argentina,Campaña Institucional del B.N.A. - B.N.A.,Radio,Nueva Economia S.A.,FM PALERMO,DA 562-10,2016-05-01
2016_05472,12100.0,Presidencia de la Nacion,Campaña Precios Cuidados - Presidencia de la Nacion,Web,Diario la Union S.A.,WWW.LAUNIONDIGITAL.COM.AR,DA 448-09,2016-05-01
2016_05474,12100.0,Presidencia de la Nacion,Campaña Precios Cuidados - Presidencia de la Nacion,Web,Gustavo Quiroga E.P.M. S.A.,WWW.DIARIOCHACO.COM,DA 448-09,2016-05-01
2016_04266,12100.0,Ministerio de Justicia y Derechos Humanos,Niños Extraviados 2016,Web,Entre Medios S.A.,WWW.ENTREMEDIOS.TV,DTO 852-14,2016-05-01
2016_05504,12100.0,Presidencia de la Nacion,Campaña Precios Cuidados - Presidencia de la Nacion,Web,Editorial la Manana S.A.,WWW.LAMAÑANAONLINE.COM.AR,DA 448-09,2016-05-01
2016_05482,12100.0,Presidencia de la Nacion,Campaña Precios Cuidados - Presidencia de la Nacion,Web,Reyna Sonia Fabiana,WWW.DIARIOJUJUY.COM.AR,DA 448-09,2016-05-01
2016_05483,12100.0,Presidencia de la Nacion,Campaña Precios Cuidados - Presidencia de la Nacion,Web,Grupo Octogono S.R.L.,WWW.INFOJUY.COM,DA 448-09,2016-05-01
2016_04482,12100.0,I.N.S.S.J.P. (Pami),Campaña Institucional Vacunacion Antigripal 2016 - Pami,Web,Territorio Digital S.A.,WWW.MDZOL.COM,DA 448-09,2016-05-01
2016_04691,12100.0,I.N.S.S.J.P. (Pami),Campaña Institucional Vacunacion Antigripal 2016 - Pami,Web,La Gaceta S.A.,LA GACETA,DA 448-09,2016-05-01
2016_03853,12218.58,I.N.S.S.J.P. (Pami),Campaña Vacunacion - Pami,Radio,Difusora Entrerriana Sa R y Tv,AM 560 LT15 RADIO DEL LITORAL,DA 448-09,2016-05-01
2016_03864,12218.58,I.N.S.S.J.P. (Pami),Campaña Vacunacion - Pami,Radio,Lv 7 Radio Tucuman S.A.,RADIO TUCUMAN LV7 AM Y FM,DA 448-09,2016-05-01
2016_05913,12239.15,Presidencia de la Nacion,Campaña Juntos - Presidencia de la Nacion,Cable,C.A.S. Tv S.A.,CANAL 7,DA 448-09,2016-05-01
2016_05070,12489.9,Presidencia de la Nacion,Campaña Precios Cuidados - Presidencia de la Nacion,Radio,Diario la Verdad Arz.Mer-Lujan,FM 89.1 NOVA RETRO,DA 448-09,2016-05-01
2016_05707,12525.93,Presidencia de la Nacion,Campaña Precios Cuidados - Presidencia de la Nacion,Grafica,Primera Edicion S.A.,PRIMERA EDICION,DA 448-09,2016-05-01
2016_04313,12646.06,I.N.S.S.J.P. (Pami),Legal Mayo,Grafica,El Cronista Comercial S.A.,EL CRONISTA COMERCIAL,DA 448-09,2016-05-01
2016_05432,12685.11,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Legales Mayo,Grafica,Editorial Amfin S.A.,AMBITO FINANCIERO,DA 562-10,2016-05-01
