ord_pub,total_neto,total_con_iva,descripcion_anunciante,campania,rubro,no_proveedor,nombre_o_denominacion_proveedor,medio,provincia_medio,tipo_de_orden,periodo
2016_10746,734.4,888.62,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,12813,PRODUCCIONES Y PROGRAMAS S.A.,AM 990,Formosa,DTO 852-14,jul-16
2016_10742,844.56,1021.92,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,11148,ROSARIO DIFUSION S.A.,AM 680 LT3,Santa Fe,DTO 852-14,jul-16
2016_10743,1685.04,2038.90,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,11143,ONDAFE S.A.,AM 1150 LT9 BRIGADIER LOPEZ,Santa Fe,DTO 852-14,jul-16
2016_10745,1321.92,1599.52,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,11644,RADIODIFUSORA INDEPENDENCIA S.R.L.,AM 590 LV12 RADIO INDEPENDENCIA,Tucuman,DTO 852-14,jul-16
2016_10679,15300.00,18513.00,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,11294,RADIO DE CUYO S.A.,AM 720 LV 10,Mendoza,DA 448-09,jul-16
2016_10681,2200.00,2662.00,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,13623,J.G. REPRESENTACIONES S.A.,FM MITRE 89.7 SAN RAFAEL,Mendoza,DA 448-09,jul-16
2016_10682,12000.00,12000.00,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,18317,INVERSORA CORPORATIVA S.A.,FM 102.7 LA COOPE,Mendoza,DA 448-09,jul-16
2016_10569,24800.00,24800.00,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,11306,SO.DI.PA. S.A.,AM 580 LU20 RADIO CHUBUT,Chubut,DA 448-09,jul-16
2016_10662,3213.00,3213.00,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,15223,TORRES RICARDO IGNACIO,FM 101.1 Integración,Misiones,DA 448-09,jul-16
2016_10663,5280.00,6388.80,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,11683,MULTIMEDIOS SAPEM,AM 620 / FM 107.3 - LT 17 RADIO PROVINCIA,Misiones,DA 448-09,jul-16
2016_10664,842,1018.82,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,15515,SENTIDOS S.A.,FM GENESIS,Misiones,DA 448-09,jul-16
2016_10741,8817.39,9037.82,Ministerio de Justicia y Derechos Humanos,Legales Julio 2016,Grafica,12777,BAE NEGOCIOS S.A.,BAE,Capital Federal,DTO 852-14,jul-16
2016_10747,11391.50,12587.61,Ministerio de Justicia y Derechos Humanos,Legales Julio 2016,Grafica,11114,EDITORIAL SARMIENTO S.A.,CRONICA,Buenos Aires,DTO 1145-09,jul-16
2016_10740,20624.76,21140.38,Ministerio del Interior y Transporte,Legales Julio 2016,Grafica,12777,BAE NEGOCIOS S.A.,BAE,Capital Federal,DTO 852-14,jul-16
2016_10656,101400.00,122694.00,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,12861,RADIO EMISORA CULTURAL S.A.,AM 630 RADIO RIVADAVIA,Capital Federal,DTO 852-14,jul-16
2016_10657,115668.00,139958.28,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,15353,RADIODIFUSORA DEL PLATA S.A.,AM 1030 RADIO DEL PLATA,Capital Federal,DTO 852-14,jul-16
2016_10658,29773.80,36026.30,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,11138,RADIODIFUSORA BUENOS AIRES S.A,FM 95.9 ROCK AND POP,Capital Federal,DTO 852-14,jul-16
2016_10659,48470.40,58649.18,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,11152,DESUP S.A.,AM 1190 RADIO AMERICA,Capital Federal,DTO 852-14,jul-16
2016_10660,23763.04,28753.28,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,14325,RADIODIFUSORA MILENIUM S.A.,FM 106.7 MILENIUM,Capital Federal,DTO 852-14,jul-16
